1523910378616	16197376	6352955
1523910378618	206848	7139387
1523910378629	16262912	10088507
1523910378644	15804160	8908859
1523910378646	14952192	12054587
1523910378659	1320960	12185659
1523910378674	796672	11333691
1523910378676	600064	15003707
1523910378689	1452032	13365307
1523910378704	2828288	13561915
1523910378705	665600	14020667
1523910378719	4204544	15986747
1523910378734	1320960	1175867
1523910378736	3549184	15396923
1523910378749	4139008	979259
1523910378764	2828288	2224443
1523910378766	3745792	3928379
1523910378781	5056512	3666235
1523910378794	4401152	4649275
1523910378795	4073472	6943035
1523910378809	6498304	5304635
1523910378839	5384192	5959995
1523910378840	4466688	3076411
1523910378843	4401152	4714811
1523910378854	3680256	1110331
1523910378855	3483648	651579
1523910378869	3418112	15855675
1523910378884	1058816	127291
1523910378885	1386496	13692987
1523910378899	1648640	15396923
1523910378914	1058816	1306939
1523910378915	2304000	16314427
1523910378929	1452032	16314427
1523910378944	2238464	1634619
1523910378945	2500608	2224443
1523910378974	3221504	4714811
1523910378975	993280	2158907
1523910378976	272384	3010875
1523910379004	2959360	3404091
1523910379005	403456	4387131
1523910379007	2500608	9105723
1523910379019	1976320	7205179
1523910379034	3483648	8581435
1523910379035	3745792	10154299
1523910379064	3352576	12120379
1523910379065	4859904	12644667
1523910379066	4204544	14086459
1523910379079	7022592	13365563
1523910379094	5122048	14741819
1523910379095	6105088	15135035
1523910379109	5842944	717371
1523910379124	7809024	1045051
1523910379125	6170624	2617915
1523910379139	6957056	3469883
1523910379164	7743488	3469883
1523910379165	7940096	4125243
1523910379184	6760448	6091323
1523910379185	7743488	3863099
1523910379186	8529920	1897019
1523910379214	7481344	4256315
1523910379215	8726528	6812219
1523910379216	8071168	4125243
1523910379244	9906176	8385083
1523910379245	10364928	7926331
1523910379246	9578496	9761339
1523910379259	11479040	7860795
1523910379274	9447424	10613307
1523910379275	11085824	9892411
1523910379304	12068864	12448315
1523910379305	12593152	12186171
1523910379306	12920832	11072059
1523910379334	12855296	12055099
1523910379335	12724224	11268667
1523910379336	12593152	12120635
1523910379364	13707264	193339
1523910379365	15673344	16183867
1523910379365	13314048	16577083
1523910379394	14886912	2093883
1523910379395	16132096	16773691
1523910379396	16590848	16642619
1523910379424	14952448	16773691
1523910379425	16328704	1897275
1523910379427	207104	3076923
1523910379439	16721920	4125499
1523910379454	16197632	1897275
1523910379456	15542272	5108539
1523910379484	1583360	1831739
1523910379486	15804416	324411
1523910379487	338176	13562427
1523910379499	15804416	13169211
1523910379514	14821376	6943291
1523910379515	14690304	7074363
1523910379529	13903872	7729723
1523910379544	13510656	8778299
1523910379559	13379584	4452923
1523910379560	12265472	3273275
1523910379574	14755840	6222395
1523910379576	11085824	4452923
1523910379589	11741184	4125243
1523910379604	13510656	4649531
1523910379605	12068864	6550075
